review,sentiment
tidak ada ulas,1
puas kecil tapi kencang,1
barang yang datang bukan baracuda tiga lima tujuh tujuh rpm tapi pipeline hd,0
terima kasih barang sudah sampai hari langsung sampai untuk sama jakarta kemas rapi thankyou buat lazada dan kenkez,1
barang bagus pengirman cepat mantap deh,1
so far puas dengan produk ini harga dan fasilitas yang dapat sangat banding kirim juga tidak sampai hari terima kasih lazada,1
mesan tanggal tujuh atau empat atau lima belas sampai barang tanggal sembilan atau empat atau lima belas cepat sekali yah barang sesuai dengan gambar yang ada di web coba telepon ke suplier untuk ta cara pakai nyata telpon yang cantum nyambung dan sambut baik oleh layan puas dengan layan terima kasih lazada,1
mantan mantan memang keren abiz cetar bahana dan hmpir semua orang kagum sama cara kerja alhamdulilah a aku puas sekali sama produk yang satu ini terima kasih kenkez jadi tagih ini beli di lazada,1
saya pesan hardisk ini tangal juni dengan fasilitas gosend sampai hari yang sama tapi sampai sekarang belum sampai mohon segera di proses,0
ukur lumayan mungil tapi pas buat pasang tenaga bank dan telepon seluler jadi aman simpan,1
barang oke packaging rapi dan kirim cepat beli hd ini pas lagi harbolnas sebelas des kira akan sampai lama nyata tanggal empat belas sudah sampai terima kasih jvp dan lazada,1
semua jalan terima kasih lazada,1
sudah lewat batas kirim barang belum sampai,0
barangx bagus sesuai gambar makas,1
barang yang datang hd transcend lima mtiga warna biru bukan lima htiga purple,0
mantap sesuai ekspentasi,1
great barang,1
lacie tb mantap,1
kamu won t regret if kamu buy it it s durable dan sangat easy to use satisfied dan terima kasih lazada,1
so far found oke,0
kualitas oke mantap,1
barang bisa duganakan cara normal seperti harus,1
pada akhir hardisk wd ekternal warna biru saya datang xd sempat khawatir juga saya ingat saya tidak pernah beli barang daring pada hari wekend kecuali po saking khawatir pesan saya sudah kirim atau belum saya sampai live chat dengan pihak lazada untuk tanya posisi hardisk pesan saya ini tertawa untuk kirim masuk lama iya padahal masih wilayah jakarta juga ckckckck mungkin ini efek belanja daring di hari wekend tapi walau lambat dari hari yang dicantumin oleh lazada dan di dalam nota beli saya tetap rasa lega karena barang pesan saya sudah sampai dengan sangat aman ingat bungkus barang sangat rapi sekali hinga harus mengunakan gunting untuk buka di tambah dengan buble bungkus yang beri kesan empuk hinga tambah yakin saya kalau barang ini akan sangat aman saya juga sudah coba hardisk dan beneran tb lho walau tertawa sisa satu satu tb karena sisa makan untuk sistem tapi dengan harga rp satu lima puluh delapan puluh bisa bilang sangat nila it dapat hardisk tb p s saya beli dengan harga segitu karena pakai kode voucher potong diskon dari lazada dari harga asli kalau tidak salah rp satu tiga ratus lima puluh sembilan nol lihat ke atas fufufufufu gakmaurugijugadia tambah dengan bonus yang tiga kali plus pouch wd memo wd dan pen wd semua ada tulis wd tidak tahu asli atau tidak tapi moga saja asli dari wd wkwkwkwk tambah tidak rugi nihanakemangbener benar cara seluruh saya puas sekali dengan barang yang saya beli ini karena itu saya sedia tulis ulas panjang panjang begini bukan memang selalu nulis ulas panjang panjang iya plakplakplak p s saya sempat bingung dengan tulis nota di dalam pada bagi kertas putih yang tulis nama kirim dan identitas terima saya cari cari sampai bego di dalam bungkus kok tidak ada hubung iq saya tinggi plak jadi saya pikir pasti di balikatau di dalam kertas ini ini dan dugan sayabenar nyata kertas putih itu adalah amplop yang isi kartu nama sih jual dan nota beli wkwkwkwkwk anda sunguh kreatif bagai dagang baru kali ini saya dibegituin untung belum saya buang itu bungkus at last but tidak least terima kasih kamu ezy com saya pasti akan pesan hardisk lagi ke sini kalau kapasitas hardisk saya sudah penuh tapi tidak tahu kapan penuh mungkin masih agak sangat lama,1
hardisk masih awet sampai skrng,1
wow kualitas barang oke sekali layan juga oke terima kasih,1
sempat khawatir tidak muat hard disk eksternal saya tapi nyata muat barang bagus dengan bahan yang sesuai,1
barang sudah datang dan fungsi baik sayang kabel krg umum di tempat saya jadi kalau rsk masih cara cdngan wlo smpe sekarang masih baik baik saja,1
kirim cepat dan rapi barang terima baik barang telah guna dengan hasil mantap,1
oke,1
kata orang rumah barang sudah datang belum cek but thks,1
pas tahun mati total pakai normal tujuh jam hari,1
saya kecewa beli memory kartu sandisk delapan gb smpe rumah memory tidak bisa dipake buruk sekali anda,0
mas kq pouchx lbih kecil dari ukur yang di cntumkan yk ukuranx hanya satu satu cmxtujuh cuma,0
kirim molor tiga mingu saya kecewa,0
fungsi dengan baik,1
baru sempat ulas di sini pesan tanggal sembilan belas sampai satu emas baik dengan bublewrap dan dapat harga murah dari yang lain dengan spesifikasi yang sama barang asli made in thailand terima kasih kenkez dan lazada,1
kenapa belum sampai juga dari tangal lima belas desember mesan,0
barang fungsi dengan baik,1
barang oke,1
fungsi baik,1
kok lama iya,1
rekomen,1
cocok sekali,1
produk hgst drive inside model wdelapan puluh ezx lima ribu empat ratus rpm tiga lima drive western digital bought hgst hitachi global storage technologies back in dua ratus satu dua ratus satu combining yang two companies technologies together kamu get everything kamu ned inside yang box yang drive tenaga cable dan usb yang drive comes dengan acronis true image wd edition software which gives kamu ned untuk making system dan file backups dengan including scheduled maintenance it has usbtiga conection which adalah compatible dengan usb usb seler sangat prompt respon shiped lanjut day dengan lazada expres,1
barang terima dalam adan baik fungsi dengan bagus,1
punya kok tidak ada kartu garansi dan segel juragan nanti buat klaim garansi bagaimana cara iya,1
barang bagus sampai juga cepat,1
banding dengan harga kualitas jauh sekali dengan harga ratus lima puluh ribu dan kualitas yang kurang pada harga sebut mahal,0
bagus dan kirim cepat,1
pesan dari luar negeri lima hari kemudian sampai barang bagus tapi harap ada isi dalam kotak,1
barang lumayan bagus tebal jadi aman untuk hardisk harga sesuai,1
bagaimana ini barang sudah bulan lebih tidak datang datang status di lazada pun belum di proses di kirim mohon folow up lazada team,0
oke sesuai sama deksripsi,1
maf baru sempat ulas cara umum cukup puas dengan layan jual emas bagus rapi dan aman fisik barang sesuai gambar dan ulas yang ada di website tertawa saya mis informasi saja karena nyata hd external wd ini tidak dapat sarung cara seluruh saya rekomendasi seler terima kasih dan tingkat selalu layan sukses,1
barang antar dengan cepat dan sesuai dengan jelas yang ada jual merespondengan cepat,1
kami mengunakan windows puluh sedang yang kirim adalah produk untuk windows di bawah dan kami sudah coba untuk masuk ke windows tujuh namun tetap tidak bisa guna kami minta kembali dana saja karena nyata produk ini tidak sesuai harap kami,0
produk sesuai yang di gambar bagus,1
barang sesuai pesan,1
barang sampai cepat sekali sesuai juga puas,1
kualitas bagus bahan aluminium dan akhir bisa guna hd sd saya bagai eksternal,1
produk bagus kirim cukup cepat beli tangal sembilan maret terima tanggal satu april namun untuk aktivasi antivirus tidak bisa saran baik untuk kirim kasih buble bungkus untuk jaga kualitas produk sat kirim,1
barang sudah terima dan kerja dengan baik emas rapi sesuai dengan harap kirim juga cepat tapi bonus kurang tarik tapi ngak apa puas deh di,1
kenapa di laptop macbok profesional retina saya tidak bisa buka iya,0
masa tiga go jek sudah ke sana tutup terus toko mesan tanggal tiga mei tujuh belas sampai dengan detik ini barang belum kirim,0
emas bagus kirim cepat cuma hardcase nyata tidak sesuai dengan gambar produk harap saya dapat warna sesuai hard disk dan ukur lebih besar dikit,0
baru pakai tiga hari hd sudah rusak data hilang jangan di beli tidak di rekomendasi,0
respon chat oke kirim oke barang sesuai mdh mdhan sukses,1
oke emas rapi barang oke,1
barang sesuai gambar cara seluruh sangat bagus terima kasih,1
ada yang penyok pada case di bagi antena mungkin kirim kurang aman dan hati hati tapi untung masih fungsi baik deskripsi ada yang tidak sesuai tidak ada batreatau tenaga bank itu buku manual bahasa cina tidak erti coba coba sendiri akhir bisa di bantu gogle,0
barang sampai dengan cepat dan sesuai deskripsi,1
barang cepat sampai dan bagus,1
bagus dan practical produk dengan cheap price terima kasih,1
lebih baik cari yang lain,0
mantap juragan,1
sesuai dengan apa yang promosi bonus belum coba tapi mudah mudah oke,1
sesuai judul produk rekomendasi degh gampang juga untuk pengunan,1
saya sudah mes dan tungu bulan untuk produk ini namun sat seseharusn sampai tiba tiba batal dan tera alamat tidak temu padahal di gogle map pun alamat ini muncul,0
kemas rapi dan aman kirim lebih cepat dari estimasi tapi minus sekrup kunci,1
sudah saya terima dan terima kasih kasih,1
barang sesuai kirim sangat cepat mantap jiwa,1
sudah mingu barang belum di kirim juga bagaimana ini juragan ada barang ngak sih,0
terima kasih barang sudah sampai barang bagus sesuai pesan,1
barang tidak sesuai dengan di deskripsi dan yang ada di gambar,0
emas bagus barang oke lah,1
respon bagus barang juga sama emas baik bagus lah inti,1
aku sudah nungu lama barang tidak datang juga kerjan ku jadi hambat gara gara seler ini,0
emas rapi proses kirim cepat bonus serta kualitas sesuai dengan yang harap,1
kirim cepat respon jual bagus dan barang sesuai gambar,1
layan bagus sih cuma produk yang tidak bagus,0
emas rapi,1
oke,1
bagus dus masih segel void,1
terima kasih seler dan lazada barang yang aku pesan sesuai sama yang ada di gambar puas deh pokok ya,1
sudah blanja bahkan minta uang di belakang ya sudah lebih baik batal saja,0
terima kasih barang sudah terima dengan kemas yang baik dan tidak terlalu lama,1
kualitas barang sangat baik emas kirim barang sangat baik cepat kirim barang sangat cepat respon jual sangat cepat rekomendasi seler,1
saya pesan warna hitam yang datang warna putih kecewa tidak sesuai ekspektasi,0
ini yang belum tahu karena barang belum sampai tidak kirim tapi seler dengan respon baik akan kirim dengan pesan lanjut terima kasih,1
its cepat dan strongly build,1
barang oke waktu kirim cepat respon jual cepat,1
simpan kapasitas besar oke,1
sangat trust walaupun sempat fre barang tidak lengkap tapi admin bertangung jawab untuk kirim lagi layan oke sekali thankyou,1
puas barang sesuai dengan spesifikasi dan gambar tertawa saja kirim lambat lama sekali sampai sudah lewat tangl estimasi sudah begitu saya cek flasdik lihat di propertiles kata flasnyadik empat belas gb kok aneh iya tapi gp yang penting bisa di pakai,1
tidak perlu beli,0
cepat respon seler ramah kirim cepat sampai terima kasih juragan,1
barang sudah sampai kemarin dan sesuai pesan terima kasih,1
paket rapi barang sesuai pesan kirim sesuai layan produk asli dan mudah an awet,1
pesan saya tiga miliar delapan puluh delapan juta ratus lima puluh satu ribu empat ratus enam puluh enam tidak kirim kirim padahal status proses sudah lama barang lain dari toko lain dengan nomor pesan sama sudah smpe tiga hari bagaimana cara batalin mesan saya,0
harga mahal barang tidak fungsi biruk sekali its so jelek tidak rekomendasi,0
terima kasih,1
barang di terima dengan baik tapi dompet hardisk tidak ada tulis canvio,1
kualitas barang bagus sesuai gambar,1
barang sudah sampai cepat respon produk memang pick tidak cawak lah pokok mantap juragan,1
mantap,1
kok barang saya beli mahal mahal pas mau guna nyata tidak bisa nyala mohon ganti dong barang yang saya beli ini,0
barang datang dengan kondisi baik dan sesuai,1
barang asli segel rapi sesuai deskripsi dan ekspektasi auto lima terima kasih,1
kalau di awal tidak jelas jadi takut mau beli,0
barang sesuai deskripsi dan kirim cepat,1
bagus,1
mantap jiwa bisa bayar di tempat bareng sama bonus oke sekali,1
wd mycloud mantan mantan satu satu tb murah di semua toko ofline dan daring barang asli sudah pasang dan ditest fungsi baik instalasi dan akting server mudah upload sped rate cukup tinggi langsung deteksi oleh media player smart tv dan gawai,1
terima kasih ke sesuai pesan dapat bonus lagi sukses iya,1
barang bagus plus sesuai spesifikasi tapi barang yang saya ingin sesuai dengan gambar,1
bagus,1
kami kecewa flsdis tudak bisa guna tertawa bisa simpan data namun tidak dapat baca kembali,0
barang bagus dan fungsi normal,1
baru mesan belum jam tiga pas esok siang barang sampai dengan selamat tanpa kurang cacat satu padahal alamat di luar jakarta,1
barang sesuai pesan sudah di test dan fungsi dengan baik,1
barang pesan sudah terima namun sedikit kendala di kirim biasa umum kirim sekitar tiga hari ini barang terima lebih lama ngomong-ngomong terima kasih bos,1
barang sudah nympe pas di buka sangat kecewa tidak sesuai dengan pesan banyak kurang kabel usb sonk driver ide sonk pasti kecewa bget,0
fd kurang baik cash karena ada yang retak retak,0
produk terima dengan baik hinga sat ini produk fungsi dengan baik,1
kirim sesuai jadwal moga awet,1
barang darat dengan mulus hadiah juga lengkap keren moga awet,1
walaupun datang lama sekali tapi ngak apa apa maklum jdan e mungkin overload obat juga dengan barang yang mantap dan moga saja awet soal saya sudah pu tiga untuk anak anak hardisk model ini dan semua keren terima kasih,1
hanya kabel buat volokan ke laptop kok tidak ada juragan bagaimana ini,0
barang datang sesuai dengan yang sampai di,1
produk ini bagus yang butuh simpan data eksternal saya rekomendasi beli produk ini cepat respon dan kirim cepat emas juga bagus tampil produk juga keren,1
belum terima barang kok di keteranganx sudah terima siapa yang nerima,0
kirim cepat emas juga mantap aman lsg dpke brfungsi dengan baik bagus produk,1
sesuai pesan dan kirim tepat waktu,1
mantap emas rapi,1
barang sudah terima emas rapi moga awet,1
tapi barang lama sampai,1
mantap juragan new dan asli,1
lumayan pesan delapan puluh gb yang datang kok ratus sebelas gb bonus,1
barang tidak bungkus aman pakai buble hitam tipis jelek mudah sobek wajar saja kalau banyak hardisk yang rusak karena jual tidak bungkus aman di gudang kurir barang pasti lempar lempar tidak mungkin sayang sayang taruh pelan pelan karena barang ribu hardisk barang yang gampang rusak jika kena guncang jika jual tidak mau rugi jual saja buble agar aman tapi buble putih iya jangan buble hitam,0
terimakadih lazada barang bagus,1
wd my paspor sesuai pesan dan dapat fre hard case,1
bagua,1
barang sesuai deskripsi bagus minus tertawa masalah kirim yang agak lama tidak seperti biasa walaupun barang dari ln,1
baik,1
fungsi baik,1
mantap betul kalau sudah di bhineka,1
bagusplus pas,1
customer service ramah cepat sampai barang mantap,1
sangat kecewa pesan halo kity yang datang bahkan hulk padahal belum sudah chat dan bilang kalau halo kity siap eh pas datang bahkan beda,0
ok barang cepat sekali sampai tertawa butuh hari untuk sampai ke balikpapan terima kasih,1
mantap cek fungsi normal mudah mudah awet,1
bagus asli harga saing plus belinketika mid year sales jadi lebih murah namun asli terima kasih lazada,1
barang sudah saya terima bagus sesuai dengan iklanya,1
barang rusak tidak bisa di pakai,0
kirim cukup cepat sesuai gambar dan kapasitas tb kualitas sedang coba,1
sesuai dengan pesan dan cepat,1
sangat puas,1
suka amat model halo kity bling bling bisa pakai terima kasih,1
barang cepat terima dan dalam adan baik rekomendasi seler,1
untuk pakai darurat lumayan bisa bantu nyala batang mah,1
barang sampai dengan selamat dan fungsi dengan sempurna,1
barang sesuai deskripsi dan pesan,1
sesuai pesan,1
barang bagus emas rapi saya senang sekali terima kasih kamu,1
excelent,1
usb terima lebih cepat dari informasi yang ada barang oke dan sesuai dengan spesifikasi yang cantum di lazada thanks,1
yang produk adalah bagus dan jangkau nevertheles terima kasih lazada,1
so far so bagus enough capacity dan working bagus,1
kamu won t regret if kamu buy it it s durable terima kasih lazada,1
usb delapan gb ini tidak bisa di pakai,0
sesuai gambar sesuai harap,1
satisfied dengan yang produk yang barang was bagus dan so cepat kirim,1
barang sudah sampai dan kerja dengan baik terima kasih lazada,1
cheap price but tinggi kualitas working tidak jelek,1
status sudah kirim tapi kok belum sampai iya,0
moga cepat sampai dan moga benar memang tiga tiga gb,0
produk tidak sesuai dengan gambar yang terima lcd maupun menu beda ratus persen,0
barang bagus mantap,1
barang terima dengan baik cara seluruh fungsi baik tapi kok capacity storage hanya lima puluh tujuh gb tidak sesuai tulis enam puluh empat gb,0
barang masih ada tidak,0
mohon di cek kembali sudah benar untuk harga apa belum,1
asli,1
pesan tangal sembilan mei tujuh belas maksimal kirim tangal satu mei tujuh belas tangal satu mei tujuh belas jam delapan malam baru ada email bahwa pesan saya batal oleh seler tanpa alas apa padahal barang siap itu masih jual buang buang waktu orang saja seler yang tidak niat jual atau toko palsu ini seperti,0
untung dulu aku beli sisa satu unit hanya sembilan puluh enam ribu,1
barang fungsi dengan baik tertawa ujung agak bengkok,1
harga sat itu lagi diskon terus juga asli kirim cepat,1
sempat lama sih kemarin dilayanin hampir hari pertama lihat kaget kerdus peyot peyot dan sempat khawatir juga kalau isi bakal berabe pas buka dan cek kondisi barang untung barang aman cuma packingan yang rusak mungkin lain kali seler kasih lindung lebih untuk barang yang kirim terima kasih lazada layan cukup baik lebih percaya belanja di sini,0
barang bagus tidak kecewa barang cepat sampai terima kasih lazada pokok lazada yang baik,1
sering error,0
terima kasih lazada paket sudah terima,1
flasdisk oke,1
kapasitas enam puluh empat gb tidak sesuai dengan barang yang saya terima kapasitas flasdsik yang saya terima tertawa lima puluh sembilan gb saya tidak rekomendasi barang ini untuk beli karena tidak sesuai,0
sudah terima beberapa hari yang lalu maf baru ulas barang bagus sesuai gambar,1
bagus kualitas of barang cepat kirim,1
jujur tidak iya jangan ngarep harga murah kualitas oke,0
barang jelek sekali harus tiga tiga gb baru di isi sekitar empat lima gb mulai jadi lambat makin lama makin lambat kalau di isi foto total di bawah lima gb masih oke lebih error tapi tidak ada error pemberitahuan tertawa waktu foto di buka error opening beli lima unit semua sama kapok,0
barang bagus,1
barang datang coba langsung of tidak perlu deh beli produk ini,0
barang bagus moga awet,1
ini flashdisk bisa buat apa saja kan,0
telah kami terima flashdisk enam puluh empat gb yang datang je tempat kami cukup lama dan telah coba tidak bisa guna atau rusak,0
barang bagus,1
kecewa tapi saya tidak bisa salah selain diri sendiri karena bal usb yang saya kira enam puluh empat giga nyata enam puluh empat mbak disi apan lagu lagu saja tidak muat parah,0
tertawa bisa guna sebentar sudah itu tidak tahu jadi tidak bisa dipakek terus tidak bisa simpan semua file tertawa file file tentu yang bisa disave dan buka kembali kenbanyakan tidak bisa buka,0
masih jual enam puluh empat mbak,0
barang bagus sesuai dengan yang di foto suka,1
kapasitas tidak sesuai paling hanya bisa nyimpan enam belas gigan,0
jelek produk,0
barang ini palsu karena asli muat tertawa delapan gb,0
lebih baik jangan,0
datang cepat paket hemat rekomeded,1
flshdisk ajaib sering hilang tapi selalu blik,1
barang sampai dengan selamat,1
jual ini parah pesan saya batal pihak kembali dana lama sekali saya pesan lima buah bayar di tempat tidak ada masalah ini sudah tidak bisa bayar di tempat batal lama lagi kembali uang saya,0
barang asli ada hologram emas bagus cepat respon rekomendasi seler,1
saya sangat puas barang juga oke terima kasih lazada,0
terima kasih kamu,1
mantap sesuai,1
barang bagus sesuai dengan gambar dan deskripsi produk,1
pakai gojek langsung sampai sudah coba di dalam ada aplikasi sandisk untuk aman file begitu ngopy file juga cepat jadi yakin ini asli dapat stiker nomor smoking juga mantap,1
barang sudah terima kondisi oke sesuai dengan pesan terima kasih,1
barang bisa guna dan dalam kondisi oke,1
barang sudah sampai lumayan sih terima kasih lazada,1
sudah mingu pesan tapi belum sampai juga lambat sekali,0
yang kirim bahkan newblack touch scren untuk samsung,0
barang bagus fungsi baik terima kasih,1
pesan sudah sampai terima kasih banyak,1
barang belum di terima tapi ada notifikasi barang sudah terima coba cek dulu baik baik belum send notifikasi dulu pesan tas anak merek onlan jasa kirim lewat lex alhasil barang di send balik ke pusat alas kata kantor tidak temu buset hotel besar di pusat kota makasar tidak ketemu sekarang pesan fd jasa kirim lex barang belum di terima tapi ada notifikasi sudah terima hadeh,0
bagus i suka,1
ini asli tiga tiga gb juragan,0
bagus desain engough lima puluh enam mbak just what i want,1
saya ingin batal pesan produk ini,0
barang sudah dtrima tepat waktu lebih baik dari pada yang kabel karena lebih praktis terima kasih lazada,1
murah riah,0
murah tapi kuningan sering lepas lem kurang kuat,0
jelek hilang hilang terus data buat,0
kecewa berat pokok buat kamu pada yang mau beli pikir dulu saja saya saranin sih kga ush beli respon lama tadi mau buqt kado bahkan jadi kga ngado saler banyak mecin,0
foto ada tutup fd asli tidak ada,1
kecil dan sangat unik dan mini sesuai dengan harap,1
sangat bagus barang kirim faster than i expected,1
its oke its bagus untuk me terima kasih lazada working wel dan kirim sangat cepat,1
sesuai gambar harga jangkau,1
tulis tertawa satu unit yang sisa ketika pes empat hari baru ada pemberitahuan batal pesan dari pihak lazada,0
sudah hampir mingu barang tidak kunjung datang,0
sudah mingu belum terima barang terus transfer dengn jumlah uang bayar buah tapi di terang jumlh hanya satu buah,1
produk sudah sampai sesuai estimasi produk sesuai dengan gambar dan deskripsi terima kasih lazada,1
barang sangat bagus dan sangat sederhana saya suka sekali recoment tidak usa mikir lagi untuk beli ini saja ma niat beli lagi but cadang,1
